Review,Rating,Cleaned_Text,Polarity,Sentiment,Emotion
"This laptop offers great battery life, which makes it a great buy.",5,laptop offers great battery life makes great buy,0.5666666666666668,Positive,Happy
I dislike this tablet because the display is terrible and not reliable.,2,dislike tablet display terrible reliable,-1.0,Negative,Angry
The mouse performs fine and the camera quality is average overall.,3,mouse performs fine camera quality average overall,0.0888888888888889,Neutral,Neutral
The phone has wonderful battery life and I am very happy with the purchase.,5,phone wonderful battery life happy purchase,0.9,Positive,Happy
The tablet feels poor and the price is not worth the money.,2,tablet feels poor price worth money,-0.05000000000000002,Neutral,Sad
The mouse performs standard and the display is average overall.,3,mouse performs standard display average overall,-0.049999999999999996,Neutral,Neutral
I love this watch because the display is great and dependable.,5,love watch display great dependable,0.65,Positive,Love
The phone feels cheap and the sound quality is not worth the money.,2,phone feels cheap sound quality worth money,0.3666666666666667,Positive,Neutral
The speaker offers decent build quality and works fine for daily use.,3,speaker offers decent build quality works fine daily use,0.17083333333333334,Positive,Neutral
The speaker has impressive camera quality and I am very happy with the purchase.,5,speaker impressive camera quality happy purchase,0.9,Positive,Happy
This laptop is bad and the storage disappointed me badly.,2,laptop bad storage disappointed badly,-0.7166666666666665,Negative,Angry
The phone performs average and the design is average overall.,3,phone performs average design average overall,-0.09999999999999999,Neutral,Neutral
"This watch offers great camera quality, which makes it a great buy.",5,watch offers great camera quality makes great buy,0.5666666666666668,Positive,Happy
The keyboard feels disappointing and the storage is not worth the money.,2,keyboard feels disappointing storage worth money,-0.15,Negative,Sad
The laptop performs decent and the battery life is average overall.,3,laptop performs decent battery life average overall,0.005555555555555554,Neutral,Neutral
The camera has amazing camera quality and I am very happy with the purchase.,5,camera amazing camera quality happy purchase,0.7000000000000001,Positive,Happy
This watch is frustrating and the build quality disappointed me badly.,2,watch frustrating build quality disappointed badly,-0.6166666666666666,Negative,Angry
"This headphones has decent storage, which is acceptable for the price.",3,headphones decent storage acceptable price,0.16666666666666666,Positive,Neutral
"This camera offers fantastic camera quality, which makes it a great buy.",5,camera offers fantastic camera quality makes great buy,0.43333333333333335,Positive,Excited
